title,artist_name,track_mbid,date,length,genre_dortmund,genre_rosamerica,genre_tzanetakis,sad,happy,party,relaxed,acoustic,danceable,tonal,bright,instrumental,decada,longitud_titulo,pca_1,pca_2,pca_3,pca_4,pca_5,cluster,anomaly
Unleash Me (by RZA feat. Prodigal Son and Christbearer Of Northstar),Massive Attack,0cdce8d1-a1f1-4f6a-bfc5-fbb7f8eaf5b9,2005,2.6118095398,Electronic,Hip-Hop,Jazz,0.116585016251,0.438978999853,0.173406273127,0.827231645584,0.260151773691,0.993352353573,0.0854565352201,0.419408142567,0.111824251711,2000,68,-0.8126741307798799,-0.6341512265086072,-0.05428595913083686,1.0656764257882863,3.391138090663794,0,1
Gas Tank (Sasha Invol2ver Remix),Home Video,0a5f7946-c033-4548-bb90-d9bf52391f95,2008,4.445170084633333,Electronic,Hip-Hop,Jazz,0.191429749131,0.240362733603,0.541456699371,0.874716103077,0.0662096887827,0.966741800308,0.0220965053886,0.124367468059,0.769075334072,2000,32,-1.6138547348251189,-1.8806786810888398,-0.949189880052359,0.30246618248180407,0.7353752598818487,0,1
Ca va pas changer le monde,Joe Dassin,0a2dc1d9-1da6-42ec-8e81-9245ca8b6ae9,1975,3.0689524332666664,Folkcountry,Classic,Jazz,0.795603573322,0.546530842781,0.00809717085212,0.819303810596,0.570989847183,0.153004348278,0.788702607155,0.967509567738,0.161729261279,1970,26,2.6333555081101223,1.944110799882503,-0.8692936958378603,-0.057407217317304776,0.4745934848620597,1,1
introduction by billy taylor,Miles Davis,0b4b9598-9559-4441-a8ec-7cfd301db1f5,2004,0.7475374221800001,Blues,Jazz,Jazz,0.143910720944,0.0244218111038,0.692974567413,0.89709353447,0.0393117815256,0.328034460545,3.24099710269e-06,0.0080347545445,0.000496152089909,2000,28,-1.3821625373235304,-1.0439470725833906,-0.4201908327862122,-1.9536031566852143,2.0721796789047855,0,1
Candles,Glee Cast,0e671f88-3f0a-45fb-bc1e-3fcaab8557d6,2011,2.8569252014166664,Folkcountry,Pop,Jazz,0.890237510204,0.260967373848,0.017498338595,0.962955832481,0.92955327034,0.446692764759,0.907002866268,0.970700979233,0.0805694386363,2010,7,2.533327092691299,-0.02132243959275384,1.9366107134728974,-0.8905805324653865,-0.6738808740573995,1,1
Till the Wheels Fall Off,Blackberry Smoke,0dc7b92c-9b7b-402c-b69e-70c45a9c9bdf,2018,3.7533604939833336,Electronic,Rock,Jazz,0.233277916908,0.0822717398405,0.650098621845,0.204435154796,0.0802587643266,0.171629458666,0.734233260155,0.56364607811,0.652807414532,2010,24,-1.2308967602513958,-0.5146827347245058,0.7387308429024302,0.5756229291435008,0.059980922456573195,0,1
Women's Liberation,The Singing Principal,0b9b2b1b-7e00-4ea9-b9d0-40ad90552083,2000,2.805551147466667,Electronic,Rhythmic,Jazz,0.222729504108,0.158251151443,0.480163097382,0.279285043478,0.325710207224,0.920234501362,0.491708189249,0.422667592764,0.0029636961408,2000,18,-1.4605415566606488,0.24028272999359448,0.1641315966506451,-0.8098554901848829,0.5074678280288845,0,1
Closer Than Close,Bee Gees,0b7e7b77-1e83-4b13-a485-8fb42a10ca61,1997,4.603646341966667,Electronic,Rhythmic,Jazz,0.31517252326,0.460179775953,0.0608599185944,0.810619771481,0.0603549145162,0.917560696602,0.427936971188,0.711872935295,0.351668864489,1990,17,-0.3387802651125034,0.10462773359556947,-0.4504475048736237,0.15500195557527072,-0.43238058550830155,0,1
Hoy Puede Ser Un Gran Dia,Chambao,0d1db664-ac39-44e0-8b68-ec733f255840,2005,3.26661224365,Folkcountry,Pop,Jazz,0.535247147083,0.764653325081,0.327727735043,0.579338371754,0.43198171258,0.774247825146,0.913749217987,0.992110967636,0.782377302647,2000,25,0.3803229067860265,0.9769398483500917,0.9295004226552323,1.313953638543256,-0.5306343529532705,1,1
Your Lullaby,Rollerball,1b348449-4602-4544-9a8d-d0537c7bc802,2009,5.5462310791,Electronic,Rock,Jazz,0.30455198884,0.355585902929,0.295623064041,0.0879779607058,0.15483379364,0.00473051378503,0.963920414448,0.663650274277,0.0698598623276,2000,12,-0.4790329050674506,0.862952027228087,0.760491032181599,0.30514946994776815,-0.4980752021088413,0,1
